,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,SportsCenter,@SC_ESPN,2021-09-02T22:56:39.000Z,"¡Lo grita Félix Torres, lo grita todo Ecuador! La Tri de Alfaro sueña en grande con el Mundial de #Qatar2022.",,,7,208,1.2K,['https://pbs.twimg.com/media/E-ULRhrVQAwqKyf?format=jpg&name=small'],https://twitter.com/SC_ESPN/status/1433564559046955008
1,Teleamazonas,@teleamazonasec,2021-09-02T22:57:03.000Z,#AHORA | Final del partido. ‘La Tri’ suma otra victoria en el estadio Rodrigo Paz Delgado en #Quito.  #Ecuador 2 vs 0  #Paraguay,,,9,110,475,['https://pbs.twimg.com/media/E-ULdXMWYAAVZYo?format=jpg&name=small'],https://twitter.com/teleamazonasec/status/1433564657197912068
2,La Tri,@LaTri,2021-09-02T23:03:04.000Z," ¡Grítalo con el alma #FélixTorres! 

#JuntosConLaTri",,😍,29,267,2.2K,['https://pbs.twimg.com/media/E-UM1MaVkAAoiFs?format=jpg&name=small'],https://twitter.com/LaTri/status/1433566174139146241
3,A. Gabilondo,@AS_AGabilondo,2021-09-02T22:35:46.000Z,Byron Castillo. Debut espectacular del lateral derecho de Ecuador. Ya habíamos hablado maravillas de él anteriormente. Pintaza. #Qatar2022,,,7,123,393,[],https://twitter.com/AS_AGabilondo/status/1433559300782247942
4,La Tri,@LaTri,2021-09-02T22:54:25.000Z," 94’ ¡GOOOOOOOLAZOOOOOOO MICHAAAEEL GOLAZOOOOOO! 

 #ECU 2  0 #PAR      
 #ClasificatoriaQatar2022
 Fecha 9
 Rodrigo Paz Delgado 

#VamosEcuador ",,⏰ ⚽ 🆚 🏆 🗓 🏟,39,165,738,['https://pbs.twimg.com/ext_tw_video_thumb/1433563877266972676/pu/img/mhzP0LE4GDNRy1vM.jpg'],https://twitter.com/LaTri/status/1433563997479981058
5,La Tri,@LaTri,2021-09-02T22:48:04.000Z," 87’ ¡GOOOOOOOOOOOOOOOOOOOOL FELIX CARAJOOOOOOO GOOOOOOL! 

 #ECU 1  0 #PAR     
 #ClasificatoriaQatar2022
 Fecha 9
 Rodrigo Paz Delgado 

#VamosEcuador ",,⏰ ⚽ 🆚 🏆 🗓 🏟,36,191,771,['https://pbs.twimg.com/ext_tw_video_thumb/1433562298019246081/pu/img/vSBs9y7kQgLPvca8.jpg'],https://twitter.com/LaTri/status/1433562399445958656
6,Pablo Eguiguren,@paeguiguren,2021-09-02T20:58:15.000Z,"Notable trabajo de 
@TheEconomist
 : estimación de exceso de mortalidad por 100 mil habitantes, ajustada por demografía:
 Perú 620
 Bolivia 453
 Ecuador 441
 Colombia 306
 Argentina 304
 Paraguay 293
 Brasil 282
 Venezuela 191
 Chile 131
 Uruguay 54",,,23,309,487,['https://pbs.twimg.com/media/E-Tsb75UUAMrwtv?format=png&name=small'],https://twitter.com/paeguiguren/status/1433534761335595009
7,Daniel Reinoso,@dnra10,2021-09-02T23:00:58.000Z,"Acabo de cantar dos goles del Ecuador, ACABO DE CANTAR DOS GOLES DE ECUADOR HP",,,11,26,784,['https://pbs.twimg.com/media/E-UMWPcVcAA4rT8?format=jpg&name=small'],https://twitter.com/dnra10/status/1433565642884591616
8,MisterChip (Alexis),@2010MisterChip,2021-09-02T23:06:09.000Z,ECU 2-0 PAR (FT) - Enorme triunfo de Ecuador ante una selección que llevaba 5 partidos seguidos sin perder fuera de casa en Eliminatorias. Con 12 puntos en 7 partidos (como ahora tiene Ecuador) se clasificaron para la Copa del Mundo 6 de 8 selecciones (75%) en CONMEBOL.,,,75,719,4.5K,[],https://twitter.com/2010MisterChip/status/1433566949989097475
9,Aristizábal TV,@aristizabaltvec,2021-09-02T22:57:38.000Z," Así fue el gol de Félix Torres para el 1-0 de Ecuador a Paraguay en Quito al minuto 88.

#EliminatoriasQatar2022
#EliminatoriasSudamericanas 
@Cupsfire_gye","From 
T.",🌐 ⚽,1,49,165,['https://pbs.twimg.com/ext_tw_video_thumb/1433562150312701953/pu/img/hA2eTQNpvPzGFE2A.jpg'],https://twitter.com/aristizabaltvec/status/1433564804304748546
